RRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRR
  067726       0       4                                                        
AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
      80       1                                                                
Inst User L.C.   Date     Time                                                  
D10 GordonGJMc06-Nov-00 15:57:02                                                
AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
      80       1                                                                
Title                                                                   Scantype
metatorbernite #5                                                       omega   
IIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIII
      31       4                                                                
   nvers   ntype   kctrl   manip   nbang   nkmes  npdone   jcode   ipara   ianal
   imode    itgv  iregul   ivolt    naxe npstart  ilast1     isa  flgkif      ih
      ik   nbsqs (spare)  nbdata icdesc1 icdesc2 icdesc3 icdesc4 icdesc5 icdesc6
 icdesc7                                                                        
       1       1       0       2       0       0       1       0       0       1
       1       1       0       0       0       1       0       0       0       0
       0       0       0       1       0       2       0       0       0       0
       0       0       1       1       0       0       1       0       0       0
       0       0       0       1       0       0       0       0       0       0
       1       0       0       1       0       1       0       0       0       0
       0       0       0       0       0       0       0       0       0       0
       0       0       0       0       0       0       0       0       0       0
       0       0       0       0       0       0       1       0       0       0
       0       0       0       0       2       0       0       0       1       0
       1       0       1       0       0       0       0       0       0       0
       2       0       0       0       0       1       0       0       0       0
       0       0       0       0       0       0       0       0       0       0
       0       0       0       0       0       0       0       0       0       0
       0       0       0       0       0       0       0       0       0       0
       1       0       0       0       0       0       0       0       0       0
       1       0       1       0       0       0       1       0       0       0
       0       0       0       1       1       0       0       0       0       0
       0       0       0       0       0       0       0       0       0       0
       1       0       0       0       0       0       0       0       1       0
       1       0       0       0       1       0       0       2       0       0
       0       0       0       0       0       0       0       0       0       0
       0       0       0       0       0       0       0       0       0       0
       1       0       0       0       0       0       0       0       0       1
       0       0       1       0       0       0       0       0       0       0
       0       0       0       0       0       0       0       0       0       2
       0       0       0       0       1       0       0       0       1       1
       0       0       0       0       0       0       0       0       0       0
       0       0       0       0       0       0       0       0       0       0
       0       0       0       0       1       0       0       0       0       0
       0       0       0       0       0       0       0       0       0       0
       0       0       0       0       0       0       0       0       0       0
       1       0       0       0       0       2       0       1       0       0
       0       0       0       0       0       0       0       0       0       0
       0       0       0       0       0       1       0       0       0       1
       1       1       1       0       0       0       0       0       0       0
       0       0       0       0       0       0       0       0       1       0
       0       0       0       0       0       0       0       0       0       0
       1       0       0       0       0       0       0       0       0       0
       0       0       0       0       0       0       0       0       0       1
       1       0       0       0       0       0       0       0       0       0
       0       0       0       0       0       1       0       0       1       0
       0       0       0       0       1       0       0       0       0       0
       0       1       0       0       0       0       0       0       0       1
       0       1       0       0       0       1       1       0       0       1
       0       0       1       0       1       0       0       0       1       0
       0       0       0       0       0       0       0       0       0       0
       0       0       0       0       0       0       0       1       2       0
       0       0       0       0       2       0       0       0       0       0
       0       0       0       1       1       0       1       0       0       0
       0       0       1       0       0       0       0       0       0       0
       0       0       0       0       0       0       0       0       0       0
       0       0       0       1       0       0       0       1       1       0
       0       0       0       0       0       0       0       0       0       0
       0       1       0       1       2       0       1       0       0       0
       0       2       0       0       0       0       0       0       0       0
       0       0       0       0       0       0       0       0       0       0
       0       0       1       4       1       0       0       2       0       0
       0       0       1       0       1       1       1       0       0       0
       2       0       0       1       0       0       1       0       2       0
       2       1       0       0                                                
SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS
       4      26      30   67726       0       1                                
FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF
       4       1                                                                
            time         monitor       Total Cou     angles*1000                
  0.58310000E+04  0.10000000E+05  0.18700000E+03  0.53671996E+05                
IIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIII
    1024                                                                        
       0       0       0       1       0       0       0       0       0       0
       0       0       0       0       0       0       0       0       0       0
       0       1       0       0       0       0       0       0       0       0
       0       0       0       0       1       0       0       0       0       0
       0       0       0       0       0       0       0       0       1       0
       0       0       1       0       0       0       0       0       0       0
       0       0       0       0       0       0       1       0       0       0
       0       0       1       0       0       0       0       0       0       0
       1       0       0       0       0       1       0       1       1       1
       1       2       1       0       0       0       0       1       0       0
       1       0       0       1       0       0       0       1       0       0
       0       0       0       0       1       0       1       2       0       0
       0       0       0       1       0       0       0       0       0       0
       0       1       0       0       0       0       1       0       1       1
       0       0       0       0       1       0       0       0       0       0
       0       0       0       0       1       0       0       0       0       0
       0       0       1       0       1       0       0       0       0       0
       0       0       0       0       0       0       2       0       0       0
       1       0       0       0       0       0       0       1       0       0
       0       0       0       0       1       0       0       0       0       0
       0       0       0       0       0       0       0       0       0       1
       1       0       0       0       0       0       0       0       0       0
       0       0       0       0       0       0       1       0       0       0
       0       0       0       0       0       0       0       0       0       0
       0       0       0       0       0       0       0       0       0       0
       0       0       0       0       0       0       0       0       2       1
       1       0       0       1       0       1       0       0       1       0
       0       0       1       0       0       0       0       0       0       0
       0       0       0       0       0       0       0       0       0       0
       0       1       0       0       1       1       1       0       0       1
       0       0       0       1       0       1       0       0       0       0
       0       0       0       1       0       0       0       0       0       0
       0       0       0       0       0       0       0       1       0       0
       0       0       0       0       1       0       1       0       0       0
       0       0       0       0       0       0       0       0       1       0
       0       0       1       0       0       1       0       0       0       0
       0       0       0       0       1       0       0       0       0       0
       0       1       0       0       1       0       0       1       0       0
       0       0       0       0       0       0       1       1       1       0
       0       0       1       0       0       0       0       0       0       0
       0       0       0       0       0       0       0       0       0       0
       0       1       0       0       0       0       0       0       0       0
       0       1       1       0       0       0       0       0       0       1
       0       0       0       0       0       0       0       1       0       0
       0       0       0       0       0       0       0       0       0       0
       1       1       0       0       0       0       0       0       0       0
       0       0       3       1       0       0       0       0       1       0
       0       2       0       0       0       1       0       0       0       0
       0       0       0       1       0       0       0       2       0       1
       0       0       0       0       0       0       0       0       0       0
       0       0       1       0       1       0       0       0       0       0
       0       0       0       0       0       0       1       1       0       0
       0       0       0       0       0       0       1       0       0       1
       0       0       2       0       0       0       0       0       0       0
       0       0       0       0       0       0       1       1       0       0
       0       0       0       0       0       0       0       0       1       0
       0       0       0       0       0       0       0       1       0       1
       1       0       0       0       0       0       0       0       0       0
       0       1       1       0       0       0       0       0       0       0
       0       0       0       0       0       0       1       3       1       0
       0       0       0       1       0       0       0       0       0       0
       1       0       1       0       0       1       0       0       0       0
       0       0       0       1       0       0       0       0       0       0
       0       0       0       0       1       1       0       0       0       0
       0       0       0       0       0       0       0       0       0       0
       0       0       0       0       0       1       0       0       1       0
       0       0       0       0       0       1       0       0       0       0
       0       0       0       0       0       0       0       0       0       1
       0       0       1       1       0       0       0       1       0       0
       1       1       0       0       0       0       0       0       0       0
       0       0       0       0       0       0       0       1       0       0
       0       0       0       0       0       0       0       0       0       1
       0       0       0       0       0       0       0       0       0       0
       1       0       0       0       0       0       0       0       0       1
       0       0       0       1       0       0       0       1       0       1
       0       0       0       0       0       0       0       0       0       0
       0       1       0       2       0       0       0       0       0       2
       0       0       0       0       1       0       0       0       0       0
       0       0       0       0       0       0       0       0       0       0
       1       0       0       0       0       0       0       0       0       0
       0       0       1       0       0       0       0       0       0       0
       0       0       1       0       0       0       1       0       0       0
       0       0       0       0       0       0       0       3       0       0
       0       0       0       0       0       1       1       0       0       0
       0       0       0       0       0       0       0       0       0       0
       0       0       0       0       0       0       0       0       0       0
       0       0       0       0       0       0       0       0       0       0
       1       0       0       0       0       2       1       0       0       0
       0       0       1       0       0       0       0       0       0       0
       0       0       0       0       0       1       0       1       0       0
       1       0       0       0       2       1       0       0       0       0
       0       0       0       2       0       0       0       0       0       0
       0       0       0       0       1       0       1       0       0       1
       0       0       0       0       0       0       0       0       2       0
       0       0       0       1       0       0       0       0       0       0
       0       0       0       0       0       0       0       0       0       0
       0       1       0       0       1       0       0       0       0       0
       0       0       1       0       0       0       1       0       1       0
       1       0       0       0       0       0       0       0       0       0
       0       0       0       1       0       0       1       0       0       2
       0       1       0       0       0       0       0       0       2       1
       0       0       0       0       0       0       1       0       1       0
       1       2       0       0                                                
SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS
       5      25      30   67726       0       1                                
